STT,Tuần,Ngày,Tên bài học,Mẫu ngữ pháp,Mẫu ngữ pháp (Furigana),Cấu trúc,Ý nghĩa,Giải thích & Hướng dẫn,Ví dụ minh họa,Ví dụ (Furigana),URL bài học
80,Tuần 4,Ngày 5,第4週 (5) – 聞いてみるしかない,～やるしかない,～やるしかない,Vるしか ない,"Chỉ còn cách, chẳng còn cách nào khác ngoài",Dùng khi muốn nhấn mạnh vào tình huống khó khăn và chỉ còn một cách giải quyết,"1. できるまで、やるしかない。
   👉 Chỉ còn cách luyện tập cho đến khi làm được
2. 直 せないから、 新 しいのを 買 うしなかった。
   👉 Vì không thể sửa được nên chỉ còn cách mua cái mới","1. できるまで、やるしかない。
   👉 Chỉ còn cách luyện tập cho đến khi làm được
2. 直(なお) せないから、 新(あたら) しいのを 買(か) うしなかった。
   👉 Vì không thể sửa được nên chỉ còn cách mua cái mới",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-5.html
81,Tuần 4,Ngày 5,第4週 (5) – 聞いてみるしかない,～結婚結婚してるんだって,～結婚結婚してるんだって,V／A／N（ 普通 形 ）（んだ）って N／Aな（なん）だって ～までだて／～からだって ～だけだって,Nghe nói là,"Dùng khi muốn tường thuật lại sự việc nghe được Thường dùng trong thể văn nói thân mật, thông dụng. Nữ thường dùng “でして”","1. 「 田中 さん、 結婚 してるんだって。」「へー、 知 らなかった。」
   👉 “Tanaka, nghe nói đã kết hôn rồi” “Hả, tôi không biết đấy”
2. 「 試験 の 範囲 は、 教科書 の 最初 から50ページまでだって。」
   👉 “Phạm vi của kỳ thi nghe nói là từ đầu sách giáo khoa khoảng trang 50 đấy.””","1. 「 田中(たなか) さん、 結婚(けっこん) してるんだって。」「へー、 知(し) らなかった。」
   👉 “Tanaka, nghe nói đã kết hôn rồi” “Hả, tôi không biết đấy”
2. 「 試験(しけん) の 範囲(はんい) は、 教科書(きょうかしょ) の 最初(さいしょ) から50ページまでだって。」
   👉 “Phạm vi của kỳ thi nghe nói là từ đầu sách giáo khoa khoảng trang 50 đấy.””",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-5.html
82,Tuần 4,Ngày 5,第4週 (5) – 聞いてみるしかない,～だってまずいんだもん,～だってまずいんだもん,V／A／N（ 普通 形 ）（んだ）もん N／Aな（なん）だもん,Thì là vì….,"Dùng để giải thích lý do kèm theo tâm trạng không vui vẻ, khó chịu, thất vọng Thường dùng trong văn nói thân mật, thông dụng","1. 「どうして 食 べないの？」「だって、まずいんだもん。」
   👉 “Sao không ăn thế?””Thì vì dở quá mà”
2. 今日 の 試験 、できなかった・・・。 勉強 しなかったんだもん、 仕方 がない。
   👉 Kỳ thi hôm nay tôi không thể làm được…thì là vì không học nên đâu còn cách nào khác","1. 「どうして 食(た) べないの？」「だって、まずいんだもん。」
   👉 “Sao không ăn thế?””Thì vì dở quá mà”
2. 今日(きょう) の 試験(しけん) 、できなかった・・・。 勉強(べんきょう) しなかったんだもん、 仕方(しかた) がない。
   👉 Kỳ thi hôm nay tôi không thể làm được…thì là vì không học nên đâu còn cách nào khác",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-5.html
83,Tuần 4,Ngày 6,第4週 (6) – つまり,～ 父 の 兄 、つまり 伯父,～ 父(ちち) の 兄(あに) 、つまり 伯父(おじ),つまり,Tức là,"Dùng để lặp lại một sự vật, sự việc với một cách nói, cách gọi khác tương đương","1. 父 の 兄 、つまり 私 の 伯父 は、 医者 をしている。
   👉 Anh của ba tôi, tức là bác tôi, đang làm bác sĩ
2. 田中 さんは、 携帯 もパソコンも 持 っていない。つまり、メールで 連絡 はできないのだ。
   👉 Tanaka không có cả di động cả máy tính. Tức là, không thể liên lạc qua mail được","1. 父(ちち) の 兄(あに) 、つまり 私(わたし) の 伯父(おじ) は、 医者(いしゃ) をしている。
   👉 Anh của ba tôi, tức là bác tôi, đang làm bác sĩ
2. 田中(たなか) さんは、 携帯(けいたい) もパソコンも 持(も) っていない。つまり、メールで 連絡(れんらく) はできないのだ。
   👉 Tanaka không có cả di động cả máy tính. Tức là, không thể liên lạc qua mail được",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-6.html
84,Tuần 4,Ngày 6,第4週 (6) – つまり,～ 事故 があった。そのため（に） 遅 れている,～ 事故(じこ) があった。そのため（に） 遅(おく) れている,＜ 目的 ・ 理由 ＞。そのため（に）＜ 結果 ＞。,"Vì thế, Do đó","Dùng làm từ nối tiếp diễn với lý do, mục tiêu được nêu ra trước đó để tiếp nối đến kết quả","1. 隣 の 駅 で 事故 があったらしい。そのために 電車 が 遅 れている。
   👉 Nghe nói có tai nạn ở nhà ga gần đây. Vì thế mà xe điện đang bị trễ.
2. 留学 するつもりだ。そのために、バイトしてお 金 をためている。
   👉 Tôi định đi du học. Vì thế tôi đi làm thêm và đang để dành tiền","1. 隣(となり) の 駅(えき) で 事故(じこ) があったらしい。そのために 電車(でんしゃ) が 遅(おく) れている。
   👉 Nghe nói có tai nạn ở nhà ga gần đây. Vì thế mà xe điện đang bị trễ.
2. 留学(りゅうがく) するつもりだ。そのために、バイトしてお 金(かね) をためている。
   👉 Tôi định đi du học. Vì thế tôi đi làm thêm và đang để dành tiền",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-6.html
85,Tuần 4,Ngày 6,第4週 (6) – つまり,～ 努力 した。その 結果 成功 した,～ 努力(どりょく) した。その 結果(けっか) 成功(せいこう) した,＜ 過去 に 起 きたこと＞ その 結果 ＜が 原因 ／ 理由 で 起 きたこと＞,Kết quả là,Dùng trong trường hợp một sự việc đã xảy ra trong quá khứ là lý do dẫn đến hậu quả của sự việc tiếp theo. Dùng làm từ nối 2 câu.,"1. 父 は、 人 の 何倍 も 努力 した。その 結果 、 仕事 で 成功 した。
   👉 Ba tôi đã nỗ lực gấp mấy lần của một người. Kết quả là đã thành công trong công việc
2. 3 ヶ月 ダイエットを 続 けた。その 結果 、5キロやせた。
   👉 Tôi đã liên tục ăn kiêng trong 3 tháng. Kết quả là đã giảm 5 kí lô","1. 父(ちち) は、 人(ひと) の 何倍(なんばい) も 努力(どりょく) した。その 結果(けっか) 、 仕事(しごと) で 成功(せいこう) した。
   👉 Ba tôi đã nỗ lực gấp mấy lần của một người. Kết quả là đã thành công trong công việc
2. 3 ヶ月(かげつ) ダイエットを 続(つづ) けた。その 結果(けっか) 、5キロやせた。
   👉 Tôi đã liên tục ăn kiêng trong 3 tháng. Kết quả là đã giảm 5 kí lô",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-6.html
86,Tuần 4,Ngày 6,第4週 (6) – つまり,～ 帰国 する。なぜなら 結婚式 に 出席 するからだ。,～ 帰国(きこく) する。なぜなら 結婚式(けっこんしき) に 出席(しゅっせき) するからだ。,＜結論＞ ＋ なぜなら（ば） なぜかというと どうしてかというと ＋ ＜原因＞ ＜理由＞,"Nếu nói tại sao thì là vì…, Nếu hỏi sao thì là do,…, Vì","Dùng để nêu lý do, nguyên nhân của một kết luận được nêu trước đó","1. 来週 、 国 に 帰 る 予定 です。なぜなら（ば）、 親友 の 結婚式 に 出席 するからです。
   👉 Tuần sau dự định về nước. Nếu hỏi tại sao thì là vì tôi sẽ tham dự đám cưới của bạn thân
2. 学校 を 変 えた。なぜかというと、ぼくのレベルのクラスがなかったからだ。
   👉 Tôi đã chuyển trường. Nếu nói là tại sao thì là do không có lớp ở trình độ của tôi","1. 来週(らいしゅう) 、 国(くに) に 帰(かえ) る 予定(よてい) です。なぜなら（ば）、 親友(しんゆう) の 結婚式(けっこんしき) に 出席(しゅっせき) するからです。
   👉 Tuần sau dự định về nước. Nếu hỏi tại sao thì là vì tôi sẽ tham dự đám cưới của bạn thân
2. 学校(がっこう) を 変(か) えた。なぜかというと、ぼくのレベルのクラスがなかったからだ。
   👉 Tôi đã chuyển trường. Nếu nói là tại sao thì là do không có lớp ở trình độ của tôi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-4-6.html
87,Tuần 5,Ngày 1,第5週 (1) – こどもばかりか,～ 勉強 はもちろん,～ 勉強(べんきょう) はもちろん,Nはもちろん Nも ［ 文 ］のはもちろん～（も）,(Danh từ) là đương nhiên rồi nhưng cả (Danh từ ‘),"Dùng để thể hiện một sự vật sự việc cũng có một đặc điểm (tốt) tương tự như một đặc điểm đương nhiên khác. Thường thể hiện ý khen ngợi, hay ngạc nhiên","1. 彼 は 勉強 はもちろんスポーツもよくできる。
   👉 Anh ấy việc học là đương nhiên rồi nhưng cả thể thao cũng có thể chơi tốt
2. キャベツは 炒 めて 食 べるはもちろん、 生 で 食 べてもおいしいです。
   👉 Bắp cải thì xào ăn là đương nhiên rồi nhưng ăn sống cũng ngon đấy","1. 彼(かれ) は 勉強(べんきょう) はもちろんスポーツもよくできる。
   👉 Anh ấy việc học là đương nhiên rồi nhưng cả thể thao cũng có thể chơi tốt
2. キャベツは 炒(いた) めて 食(た) べるはもちろん、 生(なま) で 食(た) べてもおいしいです。
   👉 Bắp cải thì xào ăn là đương nhiên rồi nhưng ăn sống cũng ngon đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-1.html
88,Tuần 5,Ngày 1,第5週 (1) – こどもばかりか,～ 味 が 悪 いばかりか,～ 味(あじ) が 悪(わる) いばかりか,V／A／N（ 普通 形 ） N だ A だ な ＋ ばかりか・・・（も） ばかりでなく・・・（も）,Không chỉ có….mà còn…,"Dùng khi thể hiện sự việc, sự vật có thêm một đặc điểm (không tốt) ngoài đặc điểm đã biết Thể hiện sự khó chịu, thất vọng, không hài lòng","1. あの 店 は、 味 が 悪 いばかりか、 店員 の 態度 もひどい。
   👉 Tiệm đó thì không chỉ vị dở mà thái độ của nhân viên cũng tệ
2. 私 は、 漢字 ばかりか、まだひらがなも 書 けません。
   👉 Tôi thì không chỉ là chữ Hán mà cả Hiragana cũng không thể viết được","1. あの 店(みせ) は、 味(あじ) が 悪(わる) いばかりか、 店員(てんいん) の 態度(たいど) もひどい。
   👉 Tiệm đó thì không chỉ vị dở mà thái độ của nhân viên cũng tệ
2. 私(わたし) は、 漢字(かんじ) ばかりか、まだひらがなも 書(か) けません。
   👉 Tôi thì không chỉ là chữ Hán mà cả Hiragana cũng không thể viết được",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-1.html
89,Tuần 5,Ngày 1,第5週 (1) – こどもばかりか,～ 昨年 に 比 べて,～ 昨年(さくねん) に 比(くら) べて,Nに ［ 文 ］のに ＋ 比 べて 比 べ,"So với, so sánh với","Dùng trong trường hợp so sánh giữa hai sự vật, sự việc","1. 試験 問題 は 昨年 に 比 べて 易 しくなった。
   👉 Đề bài thi dễ hơn so với năm ngoái
2. 店 で 買 うのに 比 べ、 通信販売 は 便利 だが、 欠点 もある。
   👉 So với việc mua ở cửa tiệm, bán hàng truyền thông tiện lợi nhưng mà cũng có khuyết điểm","1. 試験(しけん) 問題(もんだい) は 昨年(さくねん) に 比(くら) べて 易(やさ) しくなった。
   👉 Đề bài thi dễ hơn so với năm ngoái
2. 店(みせ) で 買(か) うのに 比(くら) べ、 通信販売(つうしんはんばい) は 便利(べんり) だが、 欠点(けってん) もある。
   👉 So với việc mua ở cửa tiệm, bán hàng truyền thông tiện lợi nhưng mà cũng có khuyết điểm",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-1.html
90,Tuần 5,Ngày 1,第5週 (1) – こどもばかりか,～ 生徒 に 対 して,～ 生徒(せいと) に 対(たい) して,Nに [ 文 ]のに ＋ 対 して 対 し 対 しては 対 しても 対 するN,"Đối với, đối với…thì, đối với…cũng, ….đối với….","Dùng thể hiện thái độ, hành động đối với một sự việc vấn đề Hoặc dùng khi thể hiện hai sự việc, sự vật đối lập nhau","1. 田中 先生 は、 生徒 に 対 して 厳 しい。
   👉 Thầy Tanaka nghiêm khắc với học trò
2. まじめな 長男 に 対 して、 次男 は 遊 んでばかりで 学校 もよく 休 む 。
   👉 Đối lập với con trai trưởng chăm chỉ thì con trai thứ chỉ toàn chơi bời và thường hay nghỉ","1. 田中(たなか) 先生(せんせい) は、 生徒(せいと) に 対(たい) して 厳(きび) しい。
   👉 Thầy Tanaka nghiêm khắc với học trò
2. まじめな 長男(ちょうなん) に 対(たい) して、 次男(じなん) は 遊(あそ) んでばかりで 学校(がっこう) もよく 休(やす) む 。
   👉 Đối lập với con trai trưởng chăm chỉ thì con trai thứ chỉ toàn chơi bời và thường hay nghỉ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-1.html
91,Tuần 5,Ngày 2,第5週 (2) – 炊きたて,～ 書 き 上 げる,～ 書(か) き 上(あ) げる,V ます ＋ 上げる 上がる,Làm….xong,"Dùng để nói đến việc hoàn thành hoàn toàn, kết thúc một công việc. Có thể dùng cả tự và tha động từ","1. やっとレポートを 書 き 上 げた。
   👉 Cuối cùng đã viết xong báo cáo.
2. ケーキが 焼 き 上 がりましたよ。
   👉 Bánh đã nướng xong rồi.","1. やっとレポートを 書(か) き 上(あ) げた。
   👉 Cuối cùng đã viết xong báo cáo.
2. ケーキが 焼(や) き 上(あ) がりましたよ。
   👉 Bánh đã nướng xong rồi.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-2.html
92,Tuần 5,Ngày 2,第5週 (2) – 炊きたて,～ 食 べない,～ 食(た) べない,V ます ＋ 切る 切れる V ます 切 れない,(Động từ) hết…/ Không hết,"Dùng khi sử dụng hết sự vật, sự việc nào đó, không còn sót lại Ngược lại, với thể phụ định sẽ biểu hiện sự không kết thúc, kéo dài của hành động hoặc tính chất của sự vật","1. ご 飯 の 量 が 多 くて、 食 べ 切 れないよ。
   👉 Lượng cơm nhiều quá nên tôi ăn không hết đâu.
2. 長 い 小説 を、2 日 間 で 読 み 切 った。
   👉 Đã đọc hết veo quyển tiểu thuyết dài trong vòng hai ngày
3. 疲 れ 切 ったようす。
   👉 Tình trạng hoàn toàn mệt mỏi.","1. ご 飯(はん) の 量(りょう) が 多(おお) くて、 食(た) べ 切(き) れないよ。
   👉 Lượng cơm nhiều quá nên tôi ăn không hết đâu.
2. 長(なが) い 小説(しょうせつ) を、2 日(ひ) 間(かん) で 読(よ) み 切(き) った。
   👉 Đã đọc hết veo quyển tiểu thuyết dài trong vòng hai ngày
3. 疲(つか) れ 切(き) ったようす。
   👉 Tình trạng hoàn toàn mệt mỏi.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-2.html
93,Tuần 5,Ngày 2,第5週 (2) – 炊きたて,～ 読 みかけの 本,～ 読(よ) みかけの 本(ほん),V ます ＋ かける かけのN かけだ,"Chưa xong, dở dang","Dùng trong trường hợp hành động đang còn được thực hiện (dù có thể không liên tục) , vẫn chưa kết thúc hoàn toàn","1. この 本 はまだ 読 みかけだ。
   👉 Cuốn sách này tôi vẫn đang dọc dở dang.
2. おふろに 入 りかけたときに 電話 が 鳴 った。
   👉 Lúc đang tắm thì có điện thoại reo","1. この 本(ほん) はまだ 読(よ) みかけだ。
   👉 Cuốn sách này tôi vẫn đang dọc dở dang.
2. おふろに 入(はい) りかけたときに 電話(でんわ) が 鳴(な) った。
   👉 Lúc đang tắm thì có điện thoại reo",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-2.html
94,Tuần 5,Ngày 2,第5週 (2) – 炊きたて,～ 焼 きたてのパン,～ 焼(や) きたてのパン,V ます たてのN V ます たてだ Không dùng: たてる、 読 みたて、 寝 たて、 食 べたて,Mới…xong,"Dùng trong trường hợp hành động vừa mới kết thúc Thường dùng với nghĩa “tươi, mới, nóng hổi…”","1. 焼 きたてのパンはおいしい。
   👉 Bánh mì mới nướng thì ngon
2. あのスーパーは、とりたての 新鮮 な 野菜 を 売 っている。
   👉 Siêu thị kia đang bán rau quả tươi mới hái đấy","1. 焼(や) きたてのパンはおいしい。
   👉 Bánh mì mới nướng thì ngon
2. あのスーパーは、とりたての 新鮮(しんせん) な 野菜(やさい) を 売(う) っている。
   👉 Siêu thị kia đang bán rau quả tươi mới hái đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-2.html
95,Tuần 5,Ngày 3,第5週 (3) – 受かっていたらいいな,～うまく 話 せるといいなあ,～うまく 話(はな) せるといいなあ,V／A／N（ 普通 形 ）と いい（のに）なあ。,"Ước gì…, mong sao","Dùng để thể hiện ý muốn, mong ước của cá nhân. Thuộc dạng câu cảm thán","1. もっと 日本語 がうまく 話 せたらいいなあ。
   👉 Ước gì tôi có thể nói tiếng Nhật trôi chảy hơn
2. 明日 、 雨 が 降 らないといいなあ。
   👉 Ước gì ngày mai trời không mưa","1. もっと 日本語(にほんご) がうまく 話(はな) せたらいいなあ。
   👉 Ước gì tôi có thể nói tiếng Nhật trôi chảy hơn
2. 明日(あした) 、 雨(あめ) が 降(ふ) らないといいなあ。
   👉 Ước gì ngày mai trời không mưa",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-3.html
96,Tuần 5,Ngày 3,第5週 (3) – 受かっていたらいいな,～もっと 早 く 家 をばよかった,～もっと 早(はや) く 家(いえ) をばよかった,Vば Vなければ Vたら Vなかったら ＋ よかった,Giá mà …. thì đã tốt rồi,Dùng thể hiện ý hối hận về sự việc đã xảy ra không như mong muốn của bản thân,"1. 遅刻 してしまった。もっと 早 く 家 を 出 ればよかった。
   👉 Tôi đã bị trễ. Giá mà tôi ra khỏi nhà sớm hơn
2. 田中 さんにあんなことを 言 わなければよかった。
   👉 Giá mà tôi đã không nói những lời như thế với Tanaka","1. 遅刻(ちこく) してしまった。もっと 早(はや) く 家(いえ) を 出(で) ればよかった。
   👉 Tôi đã bị trễ. Giá mà tôi ra khỏi nhà sớm hơn
2. 田中(たなか) さんにあんなことを 言(い) わなければよかった。
   👉 Giá mà tôi đã không nói những lời như thế với Tanaka",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-3.html
97,Tuần 5,Ngày 3,第5週 (3) – 受かっていたらいいな,～あなたも 行 けばよかったのに,～あなたも 行(い) けばよかったのに,Vば～ Vたら～ ＋ のに,Thế mà…/ Giá mà…,Dùng thể hiện ý tiếc nuối về sự việc đã xảy ra không như mong muốn của bản thân,"1. パーテイー、 楽 しかったよ。 君 も 行 けばよかったのに 。
   👉 Bữa tiệc vui lắm đấy. Giá mà bạn cũng đến được
2. 安 かったら 買 うのに。
   👉 Nếu rẻ thì sẽ mua thế mà…","1. パーテイー、 楽(たの) しかったよ。 君(きみ) も 行(い) けばよかったのに 。
   👉 Bữa tiệc vui lắm đấy. Giá mà bạn cũng đến được
2. 安(やす) かったら 買(か) うのに。
   👉 Nếu rẻ thì sẽ mua thế mà…",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-3.html
98,Tuần 5,Ngày 3,第5週 (3) – 受かっていたらいいな,～ 早 く 来 ないかなあ。,～ 早(はや) く 来(こ) ないかなあ。,Vる Vない ＋ かな（あ）,"Hay sao.., mong là…, có…không đây","Dùng trong trường hợp thể hiện sự hi vọng, hay sự nghi vấn của bản thân về một vấn đề nào đó Đa phần có hàm ý sự lo lắng, băn khoăn về sự việc xảy ra","1. バス、 早 く 来 ないかなあ。
   👉 Xe bút không tới sớm hay sao nhỉ
2. この 実験 、うまくいくかな。
   👉 Kỳ thực nghiệm này liệu có suôn sẻ không đây
3. 今日 、 富士山 が 見 えるかなあ。
   👉 Hôm nay không biết có gì thấy núi Phú Sĩ không đây","1. バス、 早(はや) く 来(こ) ないかなあ。
   👉 Xe bút không tới sớm hay sao nhỉ
2. この 実験(じっけん) 、うまくいくかな。
   👉 Kỳ thực nghiệm này liệu có suôn sẻ không đây
3. 今日(きょう) 、 富士山(ふじさん) が 見(み) えるかなあ。
   👉 Hôm nay không biết có gì thấy núi Phú Sĩ không đây",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-3.html
99,Tuần 5,Ngày 4,第5週 (4) – 今晩から明日の朝にかけて,～ 映画 が 始 まるまで,～ 映画(えいが) が 始(はじ) まるまで,Vるまで,Cho đến khi (hành động),Dùng cho trường hợp miêu tả điểm đến của một sự việc nào đó,"1. 映画 が 始 まるまで30 分 あります。
   👉 Cho đến khi phim bắt đầu còn 30 phút
2. 連絡 があるまで 待 っています。
   👉 Đang đợi cho đến khi có liên lạc","1. 映画(えいが) が 始(はじ) まるまで30 分(ぶん) あります。
   👉 Cho đến khi phim bắt đầu còn 30 phút
2. 連絡(れんらく) があるまで 待(ま) っています。
   👉 Đang đợi cho đến khi có liên lạc",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-4.html
100,Tuần 5,Ngày 4,第5週 (4) – 今晩から明日の朝にかけて,～ 骨 まで 食 べられる,～ 骨(ほね) まで 食(た) べられる,Nまで（それまで、そこまで）,"Cho đến mức là (danh từ), Đến cả","Dùng khi thể hiện sự ngạc nhiên về mức độ nhiều, quá của vấn đề","1. この 魚 は 骨 まで 食 べられますよ。
   👉 Con cá này có thể ăn đến cả xương đấy.
2. あなたまで 私 を 疑 うのですか。
   👉 Đến cả bạn cũng nghi ngờ tôi à?","1. この 魚(さかな) は 骨(ほね) まで 食(た) べられますよ。
   👉 Con cá này có thể ăn đến cả xương đấy.
2. あなたまで 私(わたし) を 疑(うたが) うのですか。
   👉 Đến cả bạn cũng nghi ngờ tôi à?",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-4.html
101,Tuần 5,Ngày 4,第5週 (4) – 今晩から明日の朝にかけて,～ 昼 から 夕方 にかけて,～ 昼(ひる) から 夕方(ゆうがた) にかけて,N１からN２にかけて N: 時 、 場所,Từ….(trải) đến….,Dùng trong trường hợp miêu tả khoảng thời gian/ không gian mà điểm bắt đầu và kết thúc không xác định chính xác,"1. 明日 は 昼 から 夕方 にかけて 雨 でしょう。
   👉 Ngày mai chắc mưa suốt từ trưa đến chiều.
2. 九州 から 本州 にかけて 梅雨 入 りました。
   👉 Từ kyuushuu tới honshuu đã bước vào mùa mưa.","1. 明日(あした) は 昼(ひる) から 夕方(ゆうがた) にかけて 雨(あめ) でしょう。
   👉 Ngày mai chắc mưa suốt từ trưa đến chiều.
2. 九州(きゅうしゅう) から 本州(ほんしゅう) にかけて 梅雨(つゆ) 入(はい) りました。
   👉 Từ kyuushuu tới honshuu đã bước vào mùa mưa.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-4.html
102,Tuần 5,Ngày 4,第5週 (4) – 今晩から明日の朝にかけて,～ 大阪 において,～ 大阪(おおさか) において,Nにおいて,"Tại, ở",Dùng trong trường hợp nói đến thời gian hay địa điểm. Là cách dùng trang trọng hơn so với “で”,"1. 大阪 において、 国際 会議 が 行 われた。
   👉 Hội nghị quốc tế đã được tổ chức ở Osaka
2. 結果 はホームページにおいて 発表 されます。
   👉 Kết quả sẽ được công bố trên trang chủ","1. 大阪(おおさか) において、 国際(こくさい) 会議(かいぎ) が 行(おこな) われた。
   👉 Hội nghị quốc tế đã được tổ chức ở Osaka
2. 結果(けっか) はホームページにおいて 発表(はっぴょう) されます。
   👉 Kết quả sẽ được công bố trên trang chủ",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-4.html
103,Tuần 5,Ngày 5,第5週 (5) – たとえたかくても,～たとえ 反対 されても,～たとえ 反対(はんたい) されても,たとえ ＋ Vても Aくても A（な）でも Nでも,Giả sử là…đi nữa thì…./ Thậm chí là….thì cũng…,"Dùng khi muốn nhấn mạnh ý khẳng định một sự việc, hành động nào đó bất chấp có điều kiện khác xảy ra","1. たとえ 反対 されても 留学 します。
   👉 Giả sử có bị phản đối đi chăng nữa thì tôi cũng sẽ đi du học
2. たとえ 元気 じゃなくても、 家族 への 手紙 には 元気 だと 書 きます。
   👉 Giả dụ có không khỏe thì trong thư viết cho gia đình cũng sẽ viết là khỏe","1. たとえ 反対(はんたい) されても 留学(りゅうがく) します。
   👉 Giả sử có bị phản đối đi chăng nữa thì tôi cũng sẽ đi du học
2. たとえ 元気(げんき) じゃなくても、 家族(かぞく) への 手紙(てがみ) には 元気(げんき) だと 書(か) きます。
   👉 Giả dụ có không khỏe thì trong thư viết cho gia đình cũng sẽ viết là khỏe",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-5.html
104,Tuần 5,Ngày 5,第5週 (5) – たとえたかくても,～もしかするとうそかもしれない,～もしかするとうそかもしれない,もしかすると もしかしたら ＋ V／A／N（普通形） N だ ／A な ＋ かもしれない,"Có lẽ là, có khả năng là","Dùng khi miêu tả suy đoán của người nói, thường dựa trên cảm tính","1. もしかすると 彼 の 話 はうそかもしれない。
   👉 Có khả năng câu chuyện của anh ấy là nói dối
2. もしかしたら、 明日 行 けないかもしれません。
   👉 Có lẽ ngày mai sẽ không thể đến được","1. もしかすると 彼(かれ) の 話(はなし) はうそかもしれない。
   👉 Có khả năng câu chuyện của anh ấy là nói dối
2. もしかしたら、 明日(あした) 行(い) けないかもしれません。
   👉 Có lẽ ngày mai sẽ không thể đến được",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-5.html
105,Tuần 5,Ngày 5,第5週 (5) – たとえたかくても,～ 必 ずしもいいとは 限 らない,～ 必(かなら) ずしもいいとは 限(かぎ) らない,必ずしも ＋ V（普通形） Aい Aな N ＋ とは限らない,Không chắc chắn là/ không nhất thiết là/ Không giới hạn là,"Thường dùng trong trường hợp phủ định một mệnh đề, tình huống nào đó không phải áp dụng cho toàn bộ, không phải dùng cho tất cả các trường hợp","1. （お） 金持 ちが 必 ずしも 幸福 だとは 限 らない。
   👉 Giàu có không có nghĩa chắc chắn là hạnh phúc
2. 高 いものが 必 ずいいものだとは 限 らない。
   👉 Đồ mắc tiền cũng không chắc chắn là đồ tốt","1. （お） 金持(かねも) ちが 必(かなら) ずしも 幸福(こうふく) だとは 限(かぎ) らない。
   👉 Giàu có không có nghĩa chắc chắn là hạnh phúc
2. 高(たか) いものが 必(かなら) ずいいものだとは 限(かぎ) らない。
   👉 Đồ mắc tiền cũng không chắc chắn là đồ tốt",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-5.html
106,Tuần 5,Ngày 5,第5週 (5) – たとえたかくても,～まるで 夢 のよう,～まるで 夢(ゆめ) のよう,まるで ＋ Nの V（普通形） ＋ よう,"(Hoàn toàn) Cứ như là, giống như là","Dùng trong trường hợp muốn so sánh một sự việc, hành động ở mức cao, tương đương với điều mà người khác không thể hình dung ra nổi, khó tin.","1. 合格 した！まるで 夢 のようだ。
   👉 Đậu rồi! Cứ như là mơ ấy
2. 彼 の 日本語 はまるで 日本人 が 話 しているみたいに 聞 こえる。
   👉 Tiếng Nhật của anh ấy nghe cứ như là người Nhật đang nói chuyện ấy
3. あなたの 言 うことはまるで 理解 できない。
   👉 Điều bạn nói hoàn toàn chẳng thể hiểu được","1. 合格(ごうかく) した！まるで 夢(ゆめ) のようだ。
   👉 Đậu rồi! Cứ như là mơ ấy
2. 彼(かれ) の 日本語(にほんご) はまるで 日本人(にほんじん) が 話(はな) しているみたいに 聞(き) こえる。
   👉 Tiếng Nhật của anh ấy nghe cứ như là người Nhật đang nói chuyện ấy
3. あなたの 言(い) うことはまるで 理解(りかい) できない。
   👉 Điều bạn nói hoàn toàn chẳng thể hiểu được",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-5-5.html
